"Rock Type (Limestone-1,Shale-3,Sandstone-4,Basalt-5,Granite-6)",Density (g/cc),UCS (MPa),RQD (%),Hardness,Joint Spacing (m),Joint Orientation (deg),Fracture Frequency (/m),Charge per Hole (kg),Powder Factor (kg/m3),Delay Timing (ms),"Initiation Sequence (Line-1,Staggered-2,Diagonal-3,Vpattern-4)",Burden (m),Spacing (m),Bench Height (m),Hole Diameter (mm),Hole Depth (m),Sub Drilling (m),Stemming Length (m),"Explosive Type(Emulsion-1,ANFO-2,Slurry-3)",Bench Width (m),Slope Angle (deg),Overall Slope Angle (deg),Pit Length (m),Temperature (C),Rainfall (mm),Humidity (%),Flyrock Distance (m)
6,2.53,27.4,51.3,3,1.84,42,10,103.7,0.36,491,3,4.55,6.63,13.13,224,14.42,2.24,3.54,2,12.48,51,35,409.3,27,77,79,26.49
5,2.67,122.1,75.1,5,1.71,59,1,457.9,0.44,275,4,4.92,5.64,10.58,241,11.27,1.66,3.91,1,19.6,48,37,908.2,36,295,69,48
4,2.38,237.5,47.7,4,1.16,75,15,261.7,0.45,199,3,3.61,5.25,9.28,243,10.91,1.8,3.26,3,15.53,45,37,413.9,31,153,33,29.02
4,2.71,251.2,50.8,4,0.54,64,15,349.7,0.98,107,4,2.81,2.89,7.04,215,8.18,0.87,2.71,3,5.15,47,47,116.4,30,43,93,64.35
3,2.55,99.3,87.5,8,0.12,15,10,495.5,0.6,133,3,4.07,5.93,9.42,103,11.22,1.14,4.04,3,18.82,47,49,852.9,25,190,30,34.63
3,2.77,271.1,96.9,8,1.77,9,9,210,0.66,279,1,3.02,3.47,8.82,125,10.06,1.41,2.46,1,18.96,57,48,783.9,34,3,56,31.68
4,2.87,169.5,63.8,4,1.59,2,6,202.6,0.54,42,1,3.25,4.87,6.85,76,7.78,1.55,2.97,3,12.48,47,39,921.6,31,11,87,29.76
6,2.5,200.1,37.9,9,1.2,17,4,270.6,0.64,172,3,4.47,6.3,11.15,176,13.04,1.16,3.38,1,19.73,60,35,279.7,38,84,93,31.99
4,2.47,251.5,66.3,10,1.22,27,1,193.3,0.71,476,4,3.85,4.3,10.75,101,12.18,1.74,3.44,2,8.7,74,50,741.5,29,66,75,35.46
6,2.23,112.3,27.7,10,1,13,4,325.9,0.76,185,1,2.78,2.79,6.51,246,7.98,1.02,2.18,3,9.89,65,30,643.1,41,205,39,44.72
3,2.68,104.6,44.4,4,0.99,73,6,418.3,0.68,22,4,4.33,5.14,10.14,242,11.35,0.99,3.43,2,13.57,58,38,527.7,41,124,76,41.21
4,2.78,138.6,90.4,4,1.3,0,7,364.4,0.99,466,2,2.96,3.02,6.95,146,8.82,0.88,2.9,3,5.09,66,30,154.4,31,31,82,54.5
5,2.38,153.7,38.2,7,1.78,3,7,177.9,0.32,90,3,5.49,7.58,11.17,164,12.35,2.44,5.03,3,18.09,68,34,694.2,23,279,75,11.42
4,2.27,253.4,32,6,1.37,9,1,157.6,0.5,314,4,2.95,3.68,6.07,88,7.28,1.01,2.48,2,8.98,66,43,860.7,43,246,35,28.06
1,2.22,192.7,42.4,4,0.3,76,2,185,0.87,330,4,5.28,7.68,12.44,84,13.86,2.17,5.2,1,15.77,62,40,371.8,44,232,45,47.07
6,2.82,294,78.4,3,2.15,52,11,121.9,0.47,318,2,2.57,3.43,6.58,108,8.17,0.87,2.06,1,7.01,60,47,462.8,37,138,74,35.22
1,2.63,249.1,80.8,8,2.01,29,5,325.6,0.8,436,1,5.49,7.78,13.21,199,14.65,1.96,4.74,2,6.79,65,35,241,37,150,98,37.56
5,2.61,150.3,66.6,7,1.23,62,5,447.2,0.46,202,2,5.55,7.85,14.47,146,16.41,2.77,4.83,2,18.78,45,53,785.4,34,193,48,26.17
1,2.4,219,87,9,1.89,33,8,108.1,0.43,184,3,3.2,3.55,9.23,85,10.41,1.5,2.41,2,18.49,52,54,768.3,41,176,53,19.92
5,2.68,60,87.9,5,2.46,30,7,146.3,0.75,269,1,3.35,4.97,6.87,101,8.54,1.58,2.81,3,13.54,75,42,707.8,30,211,31,30.8
6,2.57,180.7,72.4,9,2.07,21,15,379.9,0.68,154,1,3.63,4.7,9.84,124,11.26,1.48,3.5,3,8.09,48,37,185.2,43,267,100,38.87
3,2.64,248.3,60.4,9,0.15,61,9,249.4,0.66,124,1,5.59,8.05,13.99,220,14.81,2.74,5.53,2,5.8,46,31,238,41,241,77,32.18
5,2.72,78,94.8,10,1.64,13,2,474.5,0.38,94,3,5.26,5.67,14.57,245,15.38,1.25,5.04,3,13.13,73,53,544.7,28,200,47,24.71
4,2.85,42,69,5,2.14,86,6,120.5,0.35,245,1,3.02,4.18,7.8,96,9.22,0.91,2.87,3,6.39,64,47,868.6,40,74,30,6.04
4,2.93,191.9,76.2,8,2.32,48,13,211.6,0.44,255,2,3.05,3.05,6.88,191,7.58,1.38,2.5,2,14.88,51,33,294.9,40,206,55,23.51
4,2.54,37.5,38.6,3,0.59,41,5,247.1,0.74,105,2,3.6,5.2,8.46,100,9.99,1.34,2.93,3,18.76,69,32,105.5,24,23,98,38.96
4,2.51,231.2,28.4,9,1.09,55,1,275.9,0.32,269,4,6.63,8.17,13.64,90,15.08,2.17,4.72,1,10.99,73,34,710.3,36,106,47,25.37
6,2.71,154.2,72,6,0.87,72,7,367.1,0.45,397,2,2.34,3.07,6.7,198,7.7,0.59,1.98,3,9.23,61,33,634.5,27,34,79,36.44
4,2.27,203.3,83.1,8,0.92,35,12,79.9,0.67,319,1,4.15,5.21,9.98,246,11.49,1.48,4.11,2,17.34,54,34,620.2,42,299,91,18.31
4,2.35,56.5,31.2,5,0.27,20,4,454.1,0.39,144,1,3.99,5.65,8.1,104,9.62,0.96,3.04,3,14.53,46,47,277.2,29,274,34,28.65
4,2.81,244.4,27.3,7,0.9,73,6,158.7,0.35,244,2,5.52,6.92,13.56,205,15.11,1.25,4.81,3,8.11,50,47,492.3,31,53,95,20.1
5,2.42,185.3,79.3,8,1.88,78,10,290.7,0.94,427,4,3.91,5.02,9.67,213,11.04,1.77,3.3,2,19.59,65,39,677.4,35,211,43,51.29
6,2.25,137.9,40.7,8,1,11,9,489,0.59,424,3,3.48,3.85,7.19,229,8.38,1.06,2.99,2,6.75,74,45,945.8,24,163,44,55.57
4,2.46,130.7,90.3,9,1.1,7,11,119.2,0.74,307,1,3.12,4.16,7.54,126,8.81,0.66,2.46,3,13.1,59,40,630.4,27,48,35,37.37
5,2.24,225.5,83.4,7,2.03,36,9,367.4,0.44,50,3,4.53,4.84,10.51,105,11.61,1.24,3.37,1,5.91,47,46,807.2,24,110,84,28.79
4,2.97,204.1,85.3,5,0.43,42,12,424.1,0.85,398,2,2.67,3.63,7.91,201,8.64,0.9,2.54,3,11.58,53,43,238.9,32,35,85,50.97
1,2.28,177.6,32.5,10,1.04,57,7,278.8,0.61,92,4,5.56,8.22,12.84,137,14.44,1.64,5.22,3,10.77,52,38,843.5,41,102,60,33.65
4,2.28,251.5,65,10,2.38,72,11,428.4,0.76,140,3,3.3,4.31,7.52,128,9.28,1.55,2.72,2,7.05,51,47,843.3,37,163,79,54.67
3,2.33,60.4,26.8,5,0.87,14,3,199.4,0.59,110,1,2.65,3.36,6.65,102,7.73,0.69,2.61,1,5.23,73,51,974,41,74,38,38.45
5,2.44,192.6,91.8,7,0.97,40,4,378.3,0.96,264,3,5.49,6.79,11.77,235,12.52,1.78,5.33,3,14.37,68,45,178.3,20,191,81,49.03
4,2.62,35.3,55.4,6,1.2,40,4,199.2,0.54,189,2,4.51,5.04,10.71,161,11.21,1.4,4.06,2,8.55,67,41,242.7,33,11,53,22.98
1,2.26,110,71.1,9,1.41,0,14,421.5,0.39,135,3,3.7,3.73,8.7,154,9.6,0.8,3.67,3,7.6,63,35,419.6,34,82,66,34.11
5,2.56,81.8,56.7,6,0.52,3,13,323.4,0.47,144,1,4.33,6.05,12.69,99,13.88,1.88,4.12,3,9.01,51,54,474.1,40,47,48,34.17
4,2.34,103.8,94.1,10,2.23,71,7,454,0.68,18,2,4.22,4.43,10.72,139,12.04,1.13,3.97,1,6.28,66,48,195.4,37,258,52,36.01
1,2.45,79,91.5,8,0.36,23,1,86.6,0.87,489,2,6.73,8.14,14.66,127,16.15,2.68,5.71,2,11.72,74,35,370.9,30,114,88,43.62
6,2.7,248.7,55.7,5,2.09,37,11,195.3,0.69,433,1,4.76,6.78,13.24,194,15.23,1.7,3.68,3,9.19,75,55,573.3,25,214,60,29.13
6,2.35,288.2,57.6,9,1.55,17,2,436.9,0.44,353,3,3.08,4.02,8.67,241,9.83,1.34,2.89,3,19.74,57,42,341.4,20,76,91,33.93
4,2.97,56.5,85.4,3,2.34,47,6,267.7,0.62,433,2,4.56,4.9,12.88,78,14.67,2.05,3.22,2,14.99,61,54,484.4,31,172,64,42.64
1,2.93,141.5,95,5,0.38,84,6,253,0.7,358,2,2.83,4.14,6.53,145,7.9,0.98,2.68,3,18.06,61,43,202.1,40,193,70,35.85
6,2.8,241.6,33.1,6,1.68,65,2,408.4,0.82,204,1,3.75,3.9,10.68,239,11.8,1.52,2.87,1,17.01,51,38,747.5,28,7,66,52.67
6,2.63,222.4,26,10,1.41,74,3,183.9,0.44,395,4,2.86,3.99,7.58,86,8.8,1.38,2.08,3,18.61,53,50,544.4,34,149,55,23.09
4,2.95,270.6,22.5,7,1.24,58,6,274.8,0.83,470,2,3.16,4,8.43,211,9.76,1.31,2.43,1,11.9,53,51,958,32,0,68,51.85
5,2.24,188,83.7,3,2.04,41,12,74,0.91,289,3,4.56,6.67,11.47,233,12.42,2.02,3.37,3,11.36,58,44,904.9,28,26,75,48.58
3,2.38,34.5,31.2,4,2.34,61,2,173,0.49,93,4,4.13,4.25,8.46,247,9.37,1.95,3.78,1,12.61,62,38,188.9,41,96,46,13.66
5,2.48,284.3,47.8,9,0.41,80,3,498.9,0.68,162,4,6.15,8.56,14.94,243,16.94,1.55,4.34,3,12.29,58,55,419.3,26,232,63,61.53
5,2.59,176.9,74.6,5,0.72,18,11,188.3,0.4,183,3,4.23,4.92,9.38,113,10.6,0.93,3.7,2,14.51,62,44,824.1,24,93,52,22.1
6,2.87,178.2,24.4,4,2.07,62,14,355.2,0.37,189,4,3.99,5.23,10.45,91,11.29,1.46,3.44,2,12.82,74,30,739.4,41,74,62,34.67
1,2.39,297.8,93.7,9,2.34,67,5,69,0.85,398,4,5.55,7.48,13.08,243,13.65,1.42,5.51,2,17.6,50,40,925.9,21,173,98,31.29
6,2.95,212.5,78.1,6,0.17,45,1,113.5,0.96,391,1,5.93,7.83,12.37,92,13.58,2.19,5.86,1,11.14,45,36,932.9,21,6,54,29.49
6,2.77,31.9,65,4,0.54,21,7,94.4,0.33,91,4,2.6,2.92,6.27,100,7.99,1.05,2.31,1,10.67,46,55,645.7,44,158,93,21.3
3,2.39,230.9,75.1,6,0.98,46,12,90.5,0.81,181,4,5.2,7.63,11.68,144,13.11,1.21,4,3,5.05,52,45,128.4,32,16,88,47.14
5,2.52,240.9,33.3,9,1.11,53,9,146.6,0.56,381,4,4.56,5.77,9.86,211,11.79,1.24,4.02,3,11.01,74,52,934.8,37,17,95,26.37
3,2.42,158.8,36.2,9,2.28,20,1,450.3,0.73,25,2,3.53,4.64,7.79,121,8.37,0.86,3.06,2,6.37,71,40,742.4,38,82,98,57.94
6,2.26,227.9,65.6,8,1.44,42,4,337.6,0.89,457,4,4.6,4.68,10.42,177,12.25,1.51,4.32,2,7.28,61,53,978.7,43,67,91,55.95
4,2.61,54.6,51.8,10,1.18,59,12,406.1,0.39,198,1,4.47,6.58,11.45,130,13.41,2.23,4.46,3,14.41,71,42,309,35,242,65,35.32
5,2.81,186.1,25.1,4,0.92,66,15,301.5,0.83,228,4,4.03,4.42,10.01,199,11.43,0.83,3.01,1,11.78,47,39,541,28,217,47,46.47
6,2.47,66,60.2,4,2.22,42,10,397.8,0.59,92,4,5.54,7.31,13.31,228,14.44,1.92,4.69,3,10.16,74,52,876,21,269,46,46.74
5,2.23,240.9,20.1,3,0.88,14,9,161.4,0.67,490,4,3.15,3.99,7.85,158,8.54,1.06,2.9,2,17.33,61,36,704.5,43,181,64,28.62
6,2.87,180.9,38.1,9,0.87,28,11,53.2,0.72,66,4,5.23,6.22,14.92,107,16.01,1.18,4.01,2,16.75,51,54,375.5,25,214,71,34.33
6,2.41,147.7,56.1,6,2.4,66,11,166.1,0.71,195,2,5.52,5.98,12.22,113,12.87,2.2,4.34,1,11.94,63,49,650.5,32,127,40,38.34
3,2.66,127.9,67.3,5,0.51,74,10,110.5,0.74,446,2,3.84,4.43,7.78,227,8.44,1.39,3.1,1,16.42,65,31,277.1,26,250,80,35.67
4,2.6,76.7,94.4,10,1.5,67,12,205.7,0.58,284,4,4.1,6.12,12.23,170,13.66,1.86,3.52,1,13.11,51,36,335.5,21,159,50,27.59
5,2.59,208.3,40.4,3,2.06,4,13,311.2,0.45,498,1,5.18,7.48,11.07,204,11.94,1.32,3.82,2,16.46,54,54,117.8,33,267,64,34.98
1,2.73,290.7,39.3,7,0.13,82,5,170.7,0.67,461,1,3.07,4.45,6.98,211,8.37,1.21,2.47,1,12.06,45,37,465.9,39,8,95,27.62
1,2.89,186.8,68.1,9,2.09,55,11,297.6,0.74,371,3,3.72,5.53,8.81,236,10.55,1.66,3.06,1,17.15,73,49,324.9,30,290,100,44.47
4,2.76,105.5,60.6,8,0.87,81,14,491,0.7,208,3,3.36,4.39,8.16,169,9.93,0.88,2.93,3,18.3,56,49,769.9,23,105,77,55.35
6,2.99,107.8,77.4,8,1.09,65,5,241.6,0.43,228,2,3.03,3.05,8.55,165,10.47,1.34,2.9,2,15.16,46,30,184.4,31,263,94,31.41
1,2.29,75.9,69.3,5,1.58,50,1,312.9,0.34,126,4,3.87,4.29,10.09,197,11.94,0.88,3.15,3,18.44,49,37,131.6,24,63,76,18.7
5,2.89,167.9,64.2,9,0.12,88,7,199,0.32,174,2,3.59,3.68,8.79,175,10.16,1.78,3.45,1,5.14,72,46,394.4,42,148,65,13.5
1,2.57,150.2,72,8,0.75,80,3,94.4,0.96,109,1,2.25,2.66,6.57,153,7.81,0.66,1.75,3,7.62,49,34,211.1,41,7,97,50.35
3,2.93,179.9,21.5,3,2.46,67,3,174.6,0.85,34,4,3.01,3.11,8.39,228,10.13,1.17,2.15,1,6.73,72,46,818.3,44,131,56,50.47
3,2.61,99.1,35.2,10,0.36,50,14,304.9,0.6,257,2,4.44,6.04,9.74,94,10.64,2.16,3.3,1,19.75,75,41,430.5,31,175,46,37.82
1,2.65,95.7,54.6,9,2.1,27,2,457.6,0.54,406,4,3.36,5.03,9.58,206,10.74,1.08,2.86,3,16.53,53,45,490.8,34,106,82,52.2
5,2.26,297.8,74.7,9,2,64,14,69.4,0.62,474,3,4.03,5.08,8.97,78,9.6,1.27,3.73,3,12.5,68,55,561.9,34,33,72,30.9
5,2.98,141.2,52,5,1.57,16,7,184.8,0.31,218,4,4.85,6.79,10.65,213,11.62,1.61,4.38,3,6.31,46,40,969.8,42,175,74,17.04
6,2.22,105.9,64,8,2.15,75,2,103.1,0.47,223,2,5.14,7.51,11.3,238,12.43,2.25,4.47,3,13.99,68,34,261.8,28,51,45,17.14
4,2.57,255.3,96.6,3,0.33,25,6,459.5,0.45,31,1,6.14,6.96,14.96,156,16.55,1.5,5.65,3,7.27,70,41,219.4,31,174,64,29.94
6,2.57,242.4,21.4,7,1.12,90,10,121.1,0.54,100,2,5.48,5.83,13.6,192,15.27,2.12,4.36,3,6.2,61,45,190,28,164,34,22.7
1,2.66,95,97.5,7,0.97,2,5,348.3,0.97,109,1,4.45,4.76,9.23,185,10.48,1.85,3.35,2,10.32,45,30,354.5,42,23,71,52.14
3,2.41,263.1,71.5,9,0.85,51,12,139.5,0.53,271,4,3.77,4.14,8.8,120,9.55,0.83,3.54,3,16.93,55,36,832.2,31,287,98,15.41
1,2.6,160.3,32.8,4,0.94,15,10,442.2,0.67,171,1,5.29,6.96,12.85,90,14.79,1.47,4.17,2,11.47,45,47,856.1,32,264,86,41.34
6,2.98,266.9,91.9,8,1.89,46,2,207.6,0.64,180,4,2.78,2.88,6.9,177,8.39,0.91,2.41,2,10.37,51,34,307.6,25,218,53,40.44
6,2.38,24.6,41.4,3,0.82,69,15,426.7,0.44,158,1,2.82,3.17,6.32,135,7.3,0.71,2.55,1,13.83,49,33,380.2,26,5,98,28.07
4,2.86,217.9,71.4,10,0.69,83,6,291.7,0.63,366,2,5.18,6.39,11.43,109,13.17,2.17,5.14,2,6.75,71,51,145.4,20,40,96,24.44
3,2.66,187.3,69.4,3,0.85,10,4,410.5,0.95,433,3,4.25,4.52,9.26,182,9.98,1.92,4.07,2,11.25,57,34,669.1,21,126,69,55.01
6,2.43,181.3,42.1,5,1.68,36,3,97.3,0.64,165,4,5.57,6.62,11.38,225,12.91,1.89,4.83,3,14.22,53,45,363.3,27,149,96,32.52
1,2.47,271.5,89.8,10,1.68,9,2,238.5,0.9,394,2,4.78,4.85,13.77,124,15.09,2.03,4.35,3,5.29,65,35,916.3,33,59,95,36.72
5,2.48,122.4,74.9,10,0.3,34,5,145.3,0.66,99,4,7.04,8.89,14.97,229,16,1.86,6.37,2,14.25,65,49,957,44,76,77,25.26
6,2.88,27.1,84.1,7,0.86,58,5,199.2,0.35,368,3,3.01,3.58,7.02,153,8.07,0.9,2.7,1,15.59,64,32,680.9,24,268,91,13.82
1,2.59,185.4,45.5,7,1.3,60,5,234.8,0.55,226,2,4.29,5.06,12.41,195,14.06,1.98,4.03,2,8.98,69,43,630.8,35,262,80,23.46
4,2.44,132.1,98,7,0.27,42,12,316.3,0.73,365,4,3.48,3.82,8.24,123,9.08,1.33,2.84,3,13.98,74,43,884.9,26,234,37,57.06
1,2.76,170.1,20.3,6,1.05,31,3,62.9,0.49,247,4,3.09,4.2,7.17,92,8.63,1.17,2.42,1,19.33,46,39,144,42,18,58,28.32
3,2.38,266.6,94.8,3,2.14,7,13,391.7,0.53,297,2,2.88,3.95,7.76,108,8.3,1.02,2.49,3,8.33,56,41,637.8,30,194,33,39.58
4,2.35,178.3,38.6,9,0.49,59,11,188,0.77,102,2,3.86,5.74,10,176,11.68,1.71,2.79,3,5.1,54,31,750.7,43,229,65,36.08
4,2.76,194.6,78.2,9,0.23,8,8,367.1,0.58,280,3,6.89,8.97,14.11,226,15.43,2.16,5.79,3,15.76,45,44,544.8,33,99,41,26.16
6,2.22,265.3,62.1,5,0.8,17,1,481.5,0.83,52,2,5.9,7.38,12.49,232,14.19,1.62,4.78,2,16.54,49,51,610.3,36,260,32,62.14
6,2.61,143.5,33.1,8,0.5,44,12,229.7,0.83,360,2,2.64,2.66,6.35,144,7.72,1.07,1.86,1,16.74,47,42,808.1,35,161,37,53.95
6,2.58,194.3,61.1,6,0.82,41,14,181.5,0.62,274,4,5.56,7.52,14.19,202,15.2,2.13,4.79,3,10.91,49,32,561.7,28,220,74,30.71
3,2.89,100.9,94.4,3,2.09,36,13,261.9,0.46,305,2,5.59,6.48,14.7,250,16.55,1.87,4.1,2,17.47,69,54,925.4,30,63,84,28.25
3,2.31,172.7,84,5,0.64,59,15,486.1,0.5,156,3,2.75,3.13,6.35,107,8.16,1.22,2.71,3,9.39,50,51,409.4,38,142,97,42.95
1,2.8,211.2,56.6,4,1.19,15,9,481.9,0.57,295,1,3.97,4.21,8.36,190,9.22,1.83,3.03,1,5.04,75,33,818.2,36,74,75,57.68
1,2.71,155.1,79.3,9,1.63,85,4,455.2,0.4,422,4,4.95,5.62,10.27,99,11.68,1.33,4.88,3,5.34,61,42,567.1,26,161,90,28.1
6,2.65,169.2,94.1,5,1.71,18,9,236.9,0.52,149,4,5.34,6.17,13.23,230,14,2.52,5,2,6.05,45,32,353.8,35,221,64,15.74
1,2.68,237.5,75.1,8,0.15,20,9,190.7,0.99,167,1,4.14,5.04,10.71,237,11.58,1.66,4.12,2,18.34,46,47,195.2,43,294,42,44.9
6,2.83,194.4,36.4,8,0.25,73,15,436.5,0.62,377,1,2.62,3.25,7.57,232,8.48,1.04,2.48,2,8.85,75,41,516.7,44,104,51,37.26
3,2.55,147,89.5,5,0.83,33,15,434.7,0.51,480,3,3.9,5.48,10.48,129,11.44,1.64,2.88,3,16.76,50,52,448.2,20,221,51,46.26
4,2.36,40.7,75.3,9,0.22,13,15,457.5,0.5,307,4,3.91,5.77,8.56,137,9.76,1.72,3.6,1,8.07,71,53,450.9,32,272,70,45.04
3,2.7,176.5,26,6,1.79,90,13,177.5,0.81,50,4,3.12,4.07,6.56,199,7.68,0.82,2.63,2,9.31,47,38,328.7,29,269,58,44.77
6,2.98,74.9,52.1,9,0.57,80,8,326.5,0.6,316,4,3.43,4.88,10.11,159,12.1,1.7,3.36,1,17.73,46,47,830.7,21,88,40,43.48
4,2.45,98,22.1,5,2.49,37,9,178.3,0.61,68,4,3.67,3.94,8.57,128,9.07,1.33,3,2,16.92,72,54,740,44,139,94,31.68
4,2.57,234.1,29.6,8,1.99,59,8,260.2,0.39,255,4,3.61,3.82,7.93,149,9.02,1.65,3.19,2,9.1,46,51,714.9,42,191,60,16.83
3,2.37,33.6,56.6,5,0.36,80,3,351.3,0.52,55,4,6.16,7.38,12.84,173,13.47,1.9,5.1,3,8.29,45,44,785.3,38,27,86,38.69
5,2.39,225,65.4,6,1.41,85,4,99.5,0.79,372,2,2.51,2.96,7.08,240,7.92,0.68,1.87,3,6.99,58,40,743,39,78,85,36.66
1,2.68,255.5,83.6,4,1.71,77,11,338.4,0.61,139,4,7.04,7.11,14.43,231,15.72,2.02,5.81,2,10.84,47,34,152.9,45,257,79,32.23
3,2.73,240,21.9,10,2.45,89,7,163.2,0.69,104,4,4.74,6.6,12.67,231,13.26,2.29,4.73,1,14.52,52,44,681.9,45,199,89,32.1
4,2.91,94.3,28.2,4,2.2,67,13,116.8,0.73,75,1,2.8,3.05,7.95,100,8.79,1.1,2.11,2,12.78,54,37,229.7,33,59,64,31.11
6,2.33,145.8,83.1,4,1.63,83,14,236.6,0.42,160,1,4.55,6.35,12.51,157,13.65,1.81,3.21,3,6.75,65,34,915.7,34,148,70,31.88
4,2.57,294.1,80.2,5,2.04,14,13,106.4,0.75,206,3,4.33,4.69,11.62,186,12.6,1.81,3.06,2,7.53,73,30,723,26,283,78,46.6
3,2.56,86,81.2,10,1,34,5,478.7,0.34,77,4,4.05,4.11,8.59,223,9.71,1.45,3.53,2,18.81,69,45,937.9,30,157,57,27.75
6,2.36,113.1,36.7,4,1.74,84,1,104.9,0.57,127,1,3.46,3.51,7.59,138,9.09,1.59,2.46,2,15.01,47,34,318.9,26,31,71,35.75
3,2.32,216.8,82.2,10,2.27,25,15,78.7,0.57,18,3,4.22,5.94,12.23,116,14.07,1.77,3.31,1,10.85,52,50,388,25,181,50,19.85
6,2.48,195.9,21.1,3,2.34,9,4,244.4,0.76,139,1,4.03,5.03,9.83,201,10.68,1.48,3.49,1,16.61,50,48,853.9,36,116,82,51.76
6,2.38,208.9,20.3,10,2.19,49,13,285,0.59,380,3,3.86,4.73,8.65,177,10.18,0.96,2.98,3,5.85,59,41,257.4,26,78,76,34.79
6,2.29,60.2,86.7,4,1.98,31,15,349.3,0.74,453,3,2.46,3.4,6.22,208,7.74,0.52,1.79,1,9.48,63,42,778.1,27,275,78,54.65
6,2.81,59.4,25.1,6,0.52,47,1,470.8,0.6,179,1,3.4,4.95,8.34,102,9.4,1.62,2.84,3,7.53,67,34,768.9,32,241,84,52.33
1,2.72,269.6,34.3,9,1.33,76,12,433,0.83,159,4,2.81,3,7.27,201,8.05,1.22,2.35,3,13.02,58,43,781.2,40,152,73,57.26
6,2.78,207.5,77.7,10,1.56,53,14,385.1,0.84,155,3,3.29,4.26,7.07,222,8.69,1.41,3.13,3,8.07,60,30,124.3,40,20,60,53.61
6,2.35,155.1,33.6,10,2.11,5,1,390.2,0.68,126,1,3.38,3.54,6.87,135,7.54,1.49,3.22,2,10.64,59,54,790.4,21,44,65,36
5,2.96,72.4,66.6,10,1.59,78,7,287.4,0.61,72,3,3.47,4.92,7.16,203,8.87,1.52,3.18,2,10.98,57,44,771.9,25,152,87,33.68
1,2.41,219.4,75.2,4,1.59,30,1,464.6,0.54,133,4,3.19,4.3,9.01,109,9.94,0.8,2.61,3,18.9,58,55,593.6,43,66,47,45.95
1,2.67,189.4,25.9,7,1.05,62,7,206.1,0.65,336,4,4.5,5.54,9.25,119,10.88,1.67,3.71,2,14.57,66,31,771.5,32,176,75,45.15
6,2.54,289.3,83.1,4,1.34,20,13,226.8,0.31,158,2,5.44,5.56,11.57,86,12.34,2.64,5.35,1,9.73,75,31,264.1,35,44,64,14.42
1,2.77,113.2,71.5,6,1.04,27,12,97.3,0.51,108,2,3.18,4.02,6.49,200,7.31,0.81,2.48,2,9.2,54,44,439.9,23,27,51,31.99
3,2.7,63.8,42.3,3,2.45,50,14,220.2,0.35,275,1,3.95,5.57,9.38,192,10.83,1.11,3.21,3,19.61,45,35,283.8,43,254,32,20.63
4,2.92,186.8,94,4,0.42,81,8,387.4,0.99,200,4,4.77,6.86,13.96,238,15.7,1.6,4.74,3,19.61,57,49,887.1,41,15,94,60.74
6,2.28,161.7,92.4,8,0.28,12,10,192.8,0.39,340,3,2.96,4.03,7.87,207,8.97,0.81,2.1,1,19.99,47,40,527.8,34,255,87,28
6,2.86,64.8,95.3,4,0.12,5,6,479.1,0.62,393,2,2.77,3.8,7.47,166,8.58,1.02,2.51,1,7.51,65,51,896,45,160,73,47.9
6,2.85,76.5,80.3,3,0.29,5,7,67.6,0.45,362,3,4.02,4.36,8.72,123,9.62,1.74,3.83,3,17.99,70,47,539.9,22,219,68,20.98
5,2.87,83.5,60.5,4,1.49,8,9,324,0.54,450,3,5.86,6.54,14.12,243,14.96,2.21,4.64,1,13.99,72,46,983.9,41,137,96,36.8
6,2.73,32.9,84.8,10,1.96,86,3,240.6,0.99,113,2,4.93,5.59,10.03,152,11.14,1.62,4.14,2,13.66,62,42,517.9,27,258,55,48.95
1,2.26,63.6,20.6,8,1.55,2,3,336.4,0.46,226,2,3.52,4.48,8.78,152,9.62,1.16,3.36,2,18.39,64,39,672.9,28,134,32,30.8
4,2.57,226.9,56,9,0.74,10,9,142.4,0.42,85,4,5.96,6.2,14.52,248,15.38,1.83,5.7,3,11.07,71,38,788.4,23,237,71,6.22
4,2.64,59.8,40.8,3,0.33,31,7,476.2,0.68,33,2,4.75,6.1,12.5,83,13.07,1.12,3.85,3,5.56,58,32,533.3,45,147,34,51.87
5,2.99,26.2,93.6,9,0.46,16,9,365.3,0.56,290,1,4.6,5.48,10.59,233,11.9,2.13,4.1,2,15.86,56,38,429.2,27,178,59,28.54
5,2.26,175.4,95.7,3,1.78,73,15,380.5,0.51,337,2,3.29,4.14,7.81,194,8.67,1.33,2.71,3,12.79,50,54,850.5,39,283,45,33.76
3,2.74,217,21.3,4,0.68,13,11,423.8,0.62,421,3,6.11,7.5,12.75,242,13.47,1.51,4.44,2,5.14,47,36,136.3,26,6,42,50.21
4,2.84,152,98.7,10,1.13,71,2,377.1,0.53,340,2,3.2,4.14,8.07,112,9.56,0.91,3.06,3,13.93,58,30,707.9,20,101,53,28.15
3,2.44,173.2,23.4,3,0.22,70,15,110,0.86,402,4,6.7,7.38,14.49,78,15.83,2.84,4.74,2,6.17,72,36,657.2,44,47,73,53.87
4,2.64,31.2,94.2,9,1.07,13,14,318.6,0.91,30,1,4.29,4.54,12.14,179,13.64,1.7,4.08,2,12.42,48,33,594.9,34,144,35,52.71
6,2.42,71.4,95.1,10,2.49,10,9,295.8,0.59,37,2,4.4,4.79,12.78,211,14.42,1.3,4.12,3,6.23,50,39,241.4,34,1,98,26.32
